numNodos,numPagos,totalProcesos,tiempoSC_us,tamRafaga,tiempoEntreRafagas_ms,idealServicio_s,idealRafagas_s,tiempoReal_s,sobrecosteAlgoritmo_s,sobrecosteRafagas_s
8,1000,8000,2000,1000000,10,16.000000,16.000000,17.914584,1.914584,1.914584
8,1000,8000,2000,1000,10,16.000000,16.070000,17.381238,1.381238,1.311238
8,1000,8000,2000,500,10,16.000000,16.150000,17.418925,1.418925,1.268925
8,1000,8000,2000,200,10,16.000000,16.390000,17.521565,1.521565,1.131565
8,1000,8000,2000,100,10,16.000000,16.790000,18.392509,2.392509,1.602509
8,1000,8000,2000,50,10,16.000000,17.590000,18.439756,2.439756,0.849756
8,1000,8000,2000,500,25,16.000000,16.375000,18.366328,2.366328,1.991328
8,1000,8000,2000,500,50,16.000000,16.750000,18.296590,2.296590,1.546590
8,1000,8000,2000,500,100,16.000000,17.500000,18.279864,2.279864,0.779864
8,1000,8000,2000,50,0,16.000000,16.000000,17.710938,1.710938,1.710938
8,1000,8000,2000,100,0,16.000000,16.000000,17.377878,1.377878,1.377878
8,1000,8000,2000,200,0,16.000000,16.000000,17.398758,1.398758,1.398758
8,1000,8000,2000,500,0,16.000000,16.000000,17.699227,1.699227,1.699227
8,1000,8000,2000,1000,0,16.000000,16.000000,17.495156,1.495156,1.495156
8,1000,8000,2000,1000000,0,16.000000,16.000000,17.407778,1.407778,1.407778
8,1000,8000,2000,50,5,16.000000,16.795000,17.432879,1.432879,0.637879
8,1000,8000,2000,100,5,16.000000,16.395000,18.390639,2.390639,1.995639
8,1000,8000,2000,200,5,16.000000,16.195000,18.477544,2.477544,2.282544
8,1000,8000,2000,500,5,16.000000,16.075000,18.753550,2.753550,2.678550
8,1000,8000,2000,1000,5,16.000000,16.035000,17.335314,1.335314,1.300314
8,1000,8000,2000,1000000,5,16.000000,16.000000,17.444384,1.444384,1.444384
8,1000,8000,2000,50,25,16.000000,19.975000,18.349241,2.349241,-1.625759
8,1000,8000,2000,100,25,16.000000,17.975000,17.402767,1.402767,-0.572233
8,1000,8000,2000,200,25,16.000000,16.975000,17.569689,1.569689,0.594689
8,1000,8000,2000,500,25,16.000000,16.375000,17.427558,1.427558,1.052558
8,1000,8000,2000,1000,25,16.000000,16.175000,17.381510,1.381510,1.206510
8,1000,8000,2000,1000000,25,16.000000,16.000000,18.485177,2.485177,2.485177
8,1000,8000,2000,50,50,16.000000,23.950000,18.477227,2.477227,-5.472773
8,1000,8000,2000,100,50,16.000000,19.950000,18.486727,2.486727,-1.463273
8,1000,8000,2000,200,50,16.000000,17.950000,18.442526,2.442526,0.492526
8,1000,8000,2000,500,50,16.000000,16.750000,17.778352,1.778352,1.028352
8,1000,8000,2000,1000,50,16.000000,16.350000,17.359714,1.359714,1.009714
8,1000,8000,2000,1000000,50,16.000000,16.000000,17.405170,1.405170,1.405170
8,1000,8000,2000,50,100,16.000000,31.900000,18.413835,2.413835,-13.486165
8,1000,8000,2000,100,100,16.000000,23.900000,17.319657,1.319657,-6.580343
8,1000,8000,2000,200,100,16.000000,19.900000,18.588856,2.588856,-1.311144
8,1000,8000,2000,500,100,16.000000,17.500000,17.446680,1.446680,-0.053320
8,1000,8000,2000,1000,100,16.000000,16.700000,17.409889,1.409889,0.709889
8,1000,8000,2000,1000000,100,16.000000,16.000000,17.379506,1.379506,1.379506
