[3,Pagos,218,3]
[1,Consultas,19,11]
[1,Consultas,319,2]
[1,Consultas,11,1]
[1,Consultas,12,2]
[1,Consultas,11,2]
[1,Consultas,11,2]
[1,Consultas,13,2]
[1,Consultas,12,2]
[1,Consultas,12,1]
[1,Consultas,10,2]
[1,Consultas,11,2]
[1,Consultas,11,2]
[1,Consultas,12,1]
[1,Consultas,11,2]
[1,Consultas,11,2]
[1,Consultas,10,2]
[1,Consultas,12,2]
[1,Consultas,12,2]
[1,Consultas,11,2]
[1,Consultas,11,2]
[1,Consultas,11,2]
[1,Consultas,11,1]
[1,Consultas,14,2]
[1,Consultas,14,1]
[1,Consultas,11,2]
[1,Consultas,10,2]
[1,Consultas,10,2]
[1,Consultas,11,2]
[1,Consultas,12,1]
[1,Consultas,10,1]
[1,Consultas,11,2]
[1,Consultas,16,1]
[1,Consultas,11,1]
[1,Consultas,10,1]
[1,Consultas,10,1]
[1,Consultas,13,1]
[1,Consultas,11,1]
[1,Consultas,15,2]
[1,Consultas,12,2]
[1,Consultas,12,2]
[1,Consultas,11,2]
[1,Consultas,12,2]
[1,Consultas,13,2]
[1,Consultas,9,1]
[1,Consultas,13,2]
[1,Consultas,11,2]
[1,Consultas,11,2]
[1,Consultas,13,1]
[1,Consultas,11,2]
[1,Consultas,11,1]
[1,Consultas,11,2]
[1,Consultas,12,3]
[1,Consultas,11,1]
[1,Consultas,11,2]
[1,Consultas,16,2]
[1,Consultas,13,1]
[1,Consultas,11,2]
[1,Consultas,12,2]
[1,Consultas,10,2]
[1,Consultas,12,1]
[1,Consultas,12,1]
[1,Consultas,10,1]
[1,Consultas,11,2]
[1,Consultas,11,1]
[1,Consultas,25,2]
[1,Consultas,48,1]
[1,Consultas,11,1]
[1,Consultas,11,2]
[1,Consultas,11,2]
[1,Consultas,11,2]
[1,Consultas,12,2]
[1,Consultas,10,2]
[1,Consultas,13,2]
[1,Consultas,11,2]
[1,Consultas,14,2]
[1,Consultas,12,1]
[1,Consultas,16,2]
[1,Consultas,11,1]
[1,Consultas,11,2]
[1,Consultas,10,1]
[1,Consultas,14,2]
[1,Consultas,11,1]
[1,Consultas,13,2]
[1,Consultas,11,2]
[1,Consultas,11,2]
[1,Consultas,11,1]
[1,Consultas,11,1]
[1,Consultas,11,2]
[1,Consultas,11,2]
[1,Consultas,11,2]
[1,Consultas,11,2]
[1,Consultas,11,2]
[1,Consultas,14,2]
[1,Consultas,13,1]
[1,Consultas,11,2]
[1,Consultas,11,2]
[1,Consultas,11,1]
[1,Consultas,11,3]
[1,Consultas,11,2]
[1,Consultas,11,2]
[1,Consultas,11,2]
[1,Consultas,11,1]
[1,Consultas,11,1]
[1,Consultas,11,1]
[1,Consultas,10,1]
[1,Consultas,12,2]
[1,Consultas,12,2]
[1,Consultas,11,1]
[1,Consultas,11,2]
[1,Consultas,15,2]
[1,Consultas,10,1]
[1,Consultas,11,2]
[1,Consultas,11,1]
[1,Consultas,11,1]
[1,Consultas,10,1]
[1,Consultas,13,1]
[1,Consultas,11,1]
[1,Consultas,10,1]
[1,Consultas,10,1]
[1,Consultas,19,1]
[1,Consultas,12,1]
[1,Consultas,9,1]
[1,Consultas,13,2]
[1,Consultas,10,2]
[1,Consultas,23,1]
[1,Consultas,12,1]
[1,Consultas,38,2]
[1,Consultas,11,2]
[1,Consultas,12,1]
[1,Consultas,11,1]
[1,Consultas,11,1]
[1,Consultas,11,1]
[1,Consultas,13,1]
[1,Consultas,10,2]
[1,Consultas,10,1]
[1,Consultas,12,1]
[1,Consultas,12,1]
[1,Consultas,9,1]
[1,Consultas,11,1]
[1,Consultas,10,1]
[1,Consultas,12,2]
[1,Consultas,10,2]
[1,Consultas,15,1]
[1,Consultas,20,1]
[1,Consultas,14,1]
[1,Consultas,17,2]
[1,Consultas,10,1]
[1,Consultas,12,0]
[1,Consultas,11,1]
[1,Consultas,13,1]
[1,Consultas,11,1]
[1,Consultas,11,1]
[1,Consultas,9,1]
[1,Consultas,11,1]
[1,Consultas,11,1]
[1,Consultas,11,1]
[1,Consultas,11,1]
[1,Consultas,12,1]
[1,Consultas,10,1]
[1,Consultas,10,1]
[1,Consultas,11,1]
[1,Consultas,10,0]
[1,Consultas,11,1]
[1,Consultas,11,1]
[1,Consultas,10,1]
[1,Consultas,10,1]
[1,Consultas,11,0]
[1,Consultas,12,1]
[1,Consultas,13,1]
[1,Consultas,15,6]
[1,Consultas,11,7]
[1,Consultas,10,1]
[1,Consultas,14,1]
[1,Consultas,12,2]
[1,Consultas,12,1]
[1,Consultas,26,1]
[1,Consultas,44,1]
[1,Consultas,12,1]
[1,Consultas,12,1]
[1,Consultas,16,1]
[1,Consultas,14,1]
[1,Consultas,11,1]
[1,Consultas,14,1]
[1,Consultas,15,1]
[1,Consultas,11,0]
[1,Consultas,11,2]
[1,Consultas,10,1]
[1,Consultas,10,1]
[1,Consultas,11,1]
[1,Consultas,10,0]
[1,Consultas,14,2]
[1,Consultas,11,1]
[1,Consultas,10,1]
[1,Consultas,10,1]
[1,Consultas,11,0]
[1,Consultas,10,1]
[1,Consultas,11,1]
[1,Consultas,11,1]
[1,Consultas,11,1]
[1,Consultas,11,1]
[1,Consultas,12,1]
[1,Consultas,10,1]
[1,Consultas,10,1]
[1,Consultas,11,1]
[1,Consultas,11,1]
[1,Consultas,11,0]
[1,Consultas,11,0]
[1,Consultas,10,1]
[1,Consultas,10,0]
[1,Consultas,11,1]
[1,Consultas,10,0]
[1,Consultas,11,1]
[1,Consultas,12,1]
[1,Consultas,11,1]
[1,Consultas,22,0]
[1,Consultas,37,1]
[1,Consultas,11,1]
[1,Consultas,12,1]
[1,Consultas,12,1]
[1,Consultas,10,1]
[1,Consultas,10,1]
[1,Consultas,11,1]
[1,Consultas,11,1]
[1,Consultas,11,0]
[1,Consultas,10,1]
[1,Consultas,12,1]
[1,Consultas,11,1]
[1,Consultas,10,1]
[1,Consultas,11,0]
[1,Consultas,9,1]
[1,Consultas,10,1]
[1,Consultas,10,0]
[1,Consultas,15,1]
[1,Consultas,11,0]
[1,Consultas,11,1]
[1,Consultas,10,1]
[1,Consultas,11,1]
[1,Consultas,12,1]
[1,Consultas,11,0]
[1,Consultas,12,1]
[1,Consultas,12,1]
[1,Consultas,10,0]
[1,Consultas,13,0]
[1,Consultas,11,1]
[1,Consultas,29,1]
[1,Consultas,11,1]
[1,Consultas,13,1]
[1,Consultas,13,1]
[1,Consultas,11,1]
[1,Consultas,11,1]
[1,Consultas,11,1]
[1,Consultas,13,1]
[1,Consultas,11,1]
[1,Consultas,11,1]
[1,Consultas,11,1]
[1,Consultas,13,1]
[1,Consultas,10,0]
[1,Consultas,11,1]
[1,Consultas,20,1]
[1,Consultas,31,1]
[1,Consultas,39,1]
[1,Consultas,12,1]
[1,Consultas,11,1]
[1,Consultas,11,1]
[1,Consultas,11,0]
[1,Consultas,10,1]
[1,Consultas,12,1]
[1,Consultas,11,0]
[1,Consultas,10,1]
[1,Consultas,15,0]
[1,Consultas,12,0]
[1,Consultas,10,0]
[1,Consultas,11,0]
[1,Consultas,11,1]
[1,Consultas,14,0]
[1,Consultas,12,1]
[1,Consultas,10,1]
[1,Consultas,21,1]
[1,Consultas,40,0]
[1,Consultas,10,0]
[1,Consultas,11,1]
[1,Consultas,10,0]
[1,Consultas,11,1]
[1,Consultas,27,1]
[1,Consultas,47,0]
[1,Consultas,11,0]
[1,Consultas,11,1]
[1,Consultas,12,1]
[1,Consultas,11,0]
[1,Consultas,10,1]
[1,Consultas,11,1]
[1,Consultas,11,0]
[1,Consultas,11,0]
[1,Consultas,11,0]
[1,Consultas,11,0]
[1,Consultas,10,1]
[1,Consultas,11,0]
[1,Consultas,13,1]
[1,Consultas,38,1]
[1,Consultas,24,1]
[1,Consultas,11,1]
[1,Consultas,11,1]
[1,Consultas,10,1]
[1,Consultas,11,0]
[1,Consultas,10,1]
[1,Consultas,11,1]
[1,Consultas,16,1]
[1,Consultas,11,1]
[1,Consultas,9,1]
[1,Consultas,13,1]
[1,Consultas,11,0]
[1,Consultas,10,0]
[1,Consultas,9,0]
[1,Consultas,9,0]
[1,Consultas,10,0]
[1,Consultas,9,1]
[1,Consultas,15,0]
[1,Consultas,12,1]
[1,Consultas,21,1]
[1,Consultas,14,1]
[1,Consultas,11,0]
[1,Consultas,11,1]
[1,Consultas,14,1]
[1,Consultas,8,0]
[1,Consultas,10,0]
[1,Consultas,11,1]
[1,Consultas,11,1]
[1,Consultas,10,1]
[1,Consultas,12,1]
[1,Consultas,11,0]
[1,Consultas,10,1]
[1,Consultas,9,0]
[1,Consultas,15,1]
[1,Consultas,12,0]
[1,Consultas,13,1]
[1,Consultas,24,1]
[1,Consultas,20,1]
[1,Consultas,11,1]
[1,Consultas,10,0]
[1,Consultas,14,1]
[1,Consultas,19,0]
[1,Consultas,17,1]
[1,Consultas,11,1]
[1,Consultas,15,0]
[1,Consultas,11,1]
[1,Consultas,12,1]
[1,Consultas,13,0]
[1,Consultas,12,0]
[1,Consultas,15,1]
[1,Consultas,11,0]
[1,Consultas,11,0]
[1,Consultas,10,1]
[1,Consultas,10,1]
[1,Consultas,13,0]
[1,Consultas,11,1]
[1,Consultas,11,0]
[1,Consultas,11,0]
[1,Consultas,12,0]
[1,Consultas,11,0]
[1,Consultas,14,0]
[1,Consultas,11,0]
[1,Consultas,12,1]
[1,Consultas,12,1]
[1,Consultas,10,0]
[1,Consultas,9,1]
[1,Consultas,10,1]
[1,Consultas,9,1]
[1,Consultas,11,1]
[1,Consultas,13,1]
[1,Consultas,10,0]
[1,Consultas,11,0]
[1,Consultas,9,1]
[1,Consultas,13,0]
[1,Consultas,22,0]
[1,Consultas,27,0]
[1,Consultas,47,0]
[1,Consultas,11,1]
[1,Consultas,12,0]
[1,Consultas,13,5]
[1,Consultas,13,0]
[1,Consultas,12,0]
[1,Consultas,10,1]
[1,Consultas,13,1]
[1,Consultas,10,0]
[1,Consultas,15,1]
[1,Consultas,11,1]
[1,Consultas,11,1]
[1,Consultas,11,1]
[1,Consultas,12,1]
[1,Consultas,12,1]
[1,Consultas,11,1]
[1,Consultas,26,0]
[1,Consultas,8,0]
[1,Consultas,9,0]
[1,Consultas,49,0]
[1,Consultas,15,1]
[1,Consultas,11,0]
[1,Consultas,12,0]
[1,Consultas,12,1]
[1,Consultas,12,1]
[1,Consultas,10,0]
[1,Consultas,14,0]
[1,Consultas,13,1]
[1,Consultas,10,1]
[1,Consultas,13,1]
[1,Consultas,14,0]
[1,Consultas,13,0]
[1,Consultas,11,1]
[1,Consultas,11,0]
[1,Consultas,15,0]
[1,Consultas,11,0]
[1,Consultas,10,0]
[1,Consultas,10,0]
[1,Consultas,12,1]
[1,Consultas,22,1]
[1,Consultas,37,1]
[1,Consultas,14,1]
[1,Consultas,15,0]
[1,Consultas,22,0]
[1,Consultas,44,0]
[1,Consultas,9,0]
[1,Consultas,12,1]
[1,Consultas,10,0]
[1,Consultas,12,0]
[1,Consultas,9,0]
[1,Consultas,11,1]
[1,Consultas,11,1]
[1,Consultas,10,1]
[1,Consultas,9,1]
[1,Consultas,9,1]
[1,Consultas,11,1]
[1,Consultas,9,0]
[1,Consultas,10,1]
[1,Consultas,12,1]
[1,Consultas,9,0]
[1,Consultas,10,0]
[1,Consultas,9,1]
[1,Consultas,11,1]
[1,Consultas,13,0]
[1,Consultas,10,0]
[1,Consultas,11,1]
[1,Consultas,11,1]
[1,Consultas,10,1]
[1,Consultas,10,0]
[1,Consultas,13,0]
[1,Consultas,13,1]
[1,Consultas,11,0]
[1,Consultas,25,0]
[1,Consultas,44,1]
[1,Consultas,9,0]
[1,Consultas,12,0]
[1,Consultas,15,1]
[1,Consultas,14,0]
[1,Consultas,10,1]
[1,Consultas,10,1]
[1,Consultas,10,0]
[1,Consultas,22,1]
[1,Consultas,38,0]
[1,Consultas,9,0]
[1,Consultas,12,0]
[1,Consultas,16,1]
[1,Consultas,9,1]
[1,Consultas,13,1]
[1,Consultas,19,0]
[1,Consultas,20,1]
[1,Consultas,31,1]
[1,Consultas,11,1]
[1,Consultas,9,1]
[1,Consultas,10,1]
[1,Consultas,9,1]
[1,Consultas,10,1]
[1,Consultas,11,0]
[1,Consultas,10,1]
[1,Consultas,25,1]
[1,Consultas,9,1]
[1,Consultas,40,1]
[1,Consultas,10,0]
[1,Consultas,14,0]
[1,Consultas,10,0]
[1,Consultas,10,1]
[1,Consultas,10,1]
[1,Consultas,13,0]
[1,Consultas,10,1]
[1,Consultas,14,0]
[1,Consultas,10,0]
[1,Consultas,9,1]
[1,Consultas,9,0]
[1,Consultas,10,0]
[1,Consultas,11,0]
[1,Consultas,11,0]
[1,Consultas,11,1]
[1,Consultas,10,1]
[1,Consultas,10,0]
[1,Consultas,10,1]
[1,Consultas,9,0]
[1,Consultas,11,0]
[1,Consultas,11,1]
[1,Consultas,11,0]
[1,Consultas,13,1]
[1,Consultas,9,0]
[1,Consultas,10,0]
[1,Consultas,12,1]
[1,Consultas,9,1]
[1,Consultas,10,1]
[1,Consultas,26,0]
[1,Consultas,45,1]
[1,Consultas,11,0]
[1,Consultas,10,0]
[1,Consultas,10,1]
[1,Consultas,21,0]
[1,Consultas,31,0]
[1,Consultas,10,1]
[1,Consultas,9,1]
[1,Consultas,10,1]
[1,Consultas,9,1]
[1,Consultas,9,1]
[1,Consultas,9,1]
[1,Consultas,11,1]
[1,Consultas,10,1]
[1,Consultas,21,0]
[1,Consultas,11,1]
[1,Consultas,11,1]
[1,Consultas,8,0]
[1,Consultas,11,0]
[1,Consultas,11,0]
[1,Consultas,12,1]
[1,Consultas,13,0]
[1,Consultas,9,0]
[1,Consultas,9,0]
[1,Consultas,10,0]
[1,Consultas,13,0]
[1,Consultas,9,0]
[1,Consultas,9,1]
[1,Consultas,11,1]
[1,Consultas,24,0]
[1,Consultas,42,0]
[1,Consultas,21,1]
[1,Consultas,36,0]
[1,Consultas,11,0]
[1,Consultas,11,0]
[1,Consultas,12,0]
[1,Consultas,12,1]
[1,Consultas,11,1]
[1,Consultas,8,0]
[1,Consultas,11,1]
[1,Consultas,10,0]
[1,Consultas,11,0]
[1,Consultas,11,0]
[1,Consultas,11,4]
[1,Consultas,10,4]
[1,Consultas,10,1]
[1,Consultas,11,0]
[1,Consultas,12,1]
[1,Consultas,22,0]
[1,Consultas,37,0]
[1,Consultas,10,1]
[1,Consultas,10,1]
[1,Consultas,10,0]
[1,Consultas,9,1]
[1,Consultas,10,0]
[1,Consultas,11,0]
[1,Consultas,11,1]
[1,Consultas,12,0]
[1,Consultas,9,0]
[1,Consultas,10,1]
[1,Consultas,9,0]
[1,Consultas,25,0]
[1,Consultas,40,1]
[1,Consultas,11,0]
[1,Consultas,10,1]
[1,Consultas,10,0]
[1,Consultas,14,0]
[1,Consultas,12,0]
[1,Consultas,9,0]
[1,Consultas,10,0]
[1,Consultas,35,3]
[1,Consultas,22,2]
[1,Consultas,13,0]
[1,Consultas,21,0]
[1,Consultas,34,1]
[1,Consultas,10,0]
[1,Consultas,9,0]
[1,Consultas,9,0]
[1,Consultas,10,0]
[1,Consultas,12,0]
[1,Consultas,12,0]
[1,Consultas,15,1]
[1,Consultas,10,0]
[1,Consultas,13,1]
[1,Consultas,10,0]
[1,Consultas,10,0]
[1,Consultas,15,0]
[1,Consultas,12,1]
[1,Consultas,9,0]
[1,Consultas,13,1]
[1,Consultas,14,0]
[1,Consultas,13,1]
[1,Consultas,15,1]
[1,Consultas,13,0]
[1,Consultas,12,1]
[1,Consultas,13,0]
[1,Consultas,8,1]
[1,Consultas,13,1]
[1,Consultas,10,1]
[1,Consultas,10,1]
[1,Consultas,13,0]
[1,Consultas,11,0]
[1,Consultas,10,1]
[1,Consultas,9,1]
[1,Consultas,11,1]
[1,Consultas,43,0]
[1,Consultas,25,0]
[1,Consultas,10,0]
[1,Consultas,12,1]
[1,Consultas,9,0]
[1,Consultas,10,1]
[1,Consultas,16,1]
[1,Consultas,13,0]
[1,Consultas,13,1]
[1,Consultas,9,0]
[1,Consultas,13,0]
[1,Consultas,11,1]
[1,Consultas,15,1]
[1,Consultas,13,1]
[1,Consultas,13,1]
[1,Consultas,12,1]
[1,Consultas,13,1]
[1,Consultas,14,1]
[1,Consultas,13,0]
[1,Consultas,21,1]
[1,Consultas,12,1]
[1,Consultas,10,0]
[1,Consultas,13,0]
[1,Consultas,9,0]
[1,Consultas,9,0]
[1,Consultas,11,0]
[1,Consultas,23,0]
[1,Consultas,41,1]
[1,Consultas,12,1]
[1,Consultas,12,0]
[1,Consultas,11,0]
[1,Consultas,11,1]
[1,Consultas,11,0]
[1,Consultas,10,1]
[1,Consultas,12,1]
[1,Consultas,10,0]
[1,Consultas,9,0]
[1,Consultas,41,3]
[1,Consultas,23,3]
[1,Consultas,13,0]
[1,Consultas,11,1]
[1,Consultas,11,0]
[1,Consultas,9,0]
[1,Consultas,12,1]
[1,Consultas,9,1]
[1,Consultas,11,0]
[1,Consultas,10,1]
[1,Consultas,9,0]
[1,Consultas,9,1]
[1,Consultas,10,1]
[1,Consultas,26,3]
[1,Consultas,44,3]
[1,Consultas,12,0]
[1,Consultas,15,1]
[1,Consultas,30,1]
[1,Consultas,10,1]
[1,Consultas,9,1]
[1,Consultas,9,0]
[1,Consultas,9,0]
[1,Consultas,9,0]
[1,Consultas,10,0]
[1,Consultas,15,1]
[1,Consultas,11,0]
[1,Consultas,11,0]
[1,Consultas,11,1]
[1,Consultas,10,0]
[1,Consultas,14,0]
[1,Consultas,15,1]
[1,Consultas,9,1]
[1,Consultas,9,0]
[1,Consultas,11,0]
[1,Consultas,11,0]
[1,Consultas,9,0]
[1,Consultas,8,0]
[1,Consultas,14,0]
[1,Consultas,12,0]
[1,Consultas,10,0]
[1,Consultas,12,1]
[1,Consultas,10,1]
[1,Consultas,9,0]
[1,Consultas,9,0]
[1,Consultas,8,0]
[1,Consultas,8,0]
[1,Consultas,9,1]
[1,Consultas,10,0]
[1,Consultas,10,0]
[1,Consultas,9,0]
[1,Consultas,12,0]
[1,Consultas,9,0]
[1,Consultas,10,1]
[1,Consultas,11,1]
[1,Consultas,11,1]
[1,Consultas,9,0]
[1,Consultas,11,1]
[1,Consultas,10,0]
[1,Consultas,9,0]
[1,Consultas,11,0]
[1,Consultas,11,0]
[1,Consultas,9,0]
[1,Consultas,9,0]
[1,Consultas,12,1]
[1,Consultas,9,0]
[1,Consultas,23,1]
[1,Consultas,29,1]
[1,Consultas,11,0]
[1,Consultas,10,0]
[1,Consultas,9,1]
[1,Consultas,56,0]
[1,Consultas,13,1]
[1,Consultas,10,1]
[1,Consultas,10,0]
[1,Consultas,9,0]
[1,Consultas,10,1]
[1,Consultas,9,0]
[1,Consultas,9,1]
[1,Consultas,10,0]
[1,Consultas,11,0]
[1,Consultas,12,0]
[1,Consultas,9,0]
[1,Consultas,12,1]
[1,Consultas,11,1]
[1,Consultas,10,0]
[1,Consultas,9,0]
[1,Consultas,11,0]
[1,Consultas,8,1]
[1,Consultas,20,0]
[1,Consultas,29,0]
[1,Consultas,9,0]
[1,Consultas,10,1]
[1,Consultas,11,1]
[1,Consultas,13,1]
[1,Consultas,8,1]
[1,Consultas,8,0]
[1,Consultas,9,1]
[1,Consultas,9,0]
[1,Consultas,22,1]
[1,Consultas,37,1]
[1,Consultas,100,0]
[1,Consultas,98,0]
[1,Consultas,9,1]
[1,Consultas,10,1]
[1,Consultas,21,1]
[1,Consultas,92,1]
[1,Consultas,40,0]
[1,Consultas,34,1]
[1,Consultas,10,0]
[1,Consultas,8,0]
[1,Consultas,8,0]
[1,Consultas,10,1]
[1,Consultas,10,0]
[1,Consultas,11,1]
[1,Consultas,11,0]
[1,Consultas,9,1]
[1,Consultas,9,0]
[1,Consultas,9,0]
[1,Consultas,10,0]
[1,Consultas,12,0]
[1,Consultas,11,0]
[1,Consultas,8,1]
[1,Consultas,9,0]
[1,Consultas,11,0]
[1,Consultas,9,1]
[1,Consultas,10,0]
[1,Consultas,11,0]
[1,Consultas,9,0]
[1,Consultas,10,0]
[1,Consultas,9,0]
[1,Consultas,9,0]
[1,Consultas,14,1]
[1,Consultas,9,0]
[1,Consultas,11,1]
[1,Consultas,25,1]
[1,Consultas,15,0]
[1,Consultas,40,1]
[1,Consultas,12,0]
[1,Consultas,12,0]
[1,Consultas,11,1]
[1,Consultas,10,0]
[1,Consultas,9,0]
[1,Consultas,10,0]
[1,Consultas,10,1]
[1,Consultas,13,1]
[1,Consultas,11,0]
[1,Consultas,8,0]
[1,Consultas,8,0]
[1,Consultas,11,1]
[1,Consultas,11,0]
[1,Consultas,9,1]
[1,Consultas,14,1]
[1,Consultas,9,0]
[1,Consultas,8,1]
[1,Consultas,8,0]
[1,Consultas,10,1]
[1,Consultas,11,0]
[1,Consultas,10,0]
[1,Consultas,11,1]
[1,Consultas,11,1]
[1,Consultas,9,1]
[1,Consultas,9,0]
[1,Consultas,10,0]
[1,Consultas,9,1]
[1,Consultas,9,0]
[1,Consultas,10,1]
[1,Consultas,39,1]
[1,Consultas,24,1]
[1,Consultas,10,0]
[1,Consultas,9,1]
[1,Consultas,9,0]
[1,Consultas,25,0]
[1,Consultas,40,1]
[1,Consultas,13,0]
[1,Consultas,9,1]
[1,Consultas,10,0]
[1,Consultas,9,0]
[1,Consultas,25,0]
